frame,rgb_x_0,rgb_x_1,rgb_x_2,rgb_x_3,rgb_x_4,rgb_x_5,rgb_x_6,rgb_x_7,rgb_x_8,rgb_x_9,rgb_x_10,rgb_x_11,rgb_x_12,rgb_x_13,rgb_y_0,rgb_y_1,rgb_y_2,rgb_y_3,rgb_y_4,rgb_y_5,rgb_y_6,rgb_y_7,rgb_y_8,rgb_y_9,rgb_y_10,rgb_y_11,rgb_y_12,rgb_y_13
0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.8,1.0,0.75,0.2826086956521739,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.9285714285714286,0.5,0.75,0.875,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,1.0,0.3333333333333333,0.6666666666666666,0.8,1.0,0.75,0.2826086956521739,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.9285714285714286,0.5,0.75,0.875,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5,1.0,0.3333333333333333,0.6666666666666666,0.8,1.0,0.75,0.2826086956521739,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.75,0.875,0.0,0.0,1.0,0.0,0.0,1.0
3,0.5,1.0,0.3333333333333333,0.6666666666666666,0.8,1.0,0.75,0.2826086956521739,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.9285714285714286,0.5,0.75,0.875,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5,1.0,0.3333333333333333,0.6666666666666666,0.8,1.0,0.75,0.2826086956521739,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.9285714285714286,0.5,0.75,0.875,0.0,0.0,1.0,0.0,0.0,0.0
5,0.5,1.0,0.3333333333333333,0.6666666666666666,0.8,1.0,0.75,0.2826086956521739,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.9285714285714286,0.5,0.75,0.875,1.0,0.0,0.0,0.0,0.0,0.0
6,0.5,1.0,0.3333333333333333,0.6666666666666666,0.8,1.0,0.75,0.2826086956521739,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9285714285714286,0.5,0.75,0.875,1.0,0.0,1.0,1.0,0.0,0.0
7,0.5,1.0,0.3333333333333333,0.6666666666666666,0.8,1.0,0.75,0.2826086956521739,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.9285714285714286,0.5,0.75,0.875,1.0,0.0,1.0,0.0,0.0,0.0
8,0.5,1.0,0.3333333333333333,0.6666666666666666,0.8,1.0,0.75,0.30434782608695654,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.75,0.875,1.0,0.0,0.0,0.0,0.0,0.0
9,0.5,1.0,0.3333333333333333,0.6666666666666666,0.8,0.6666666666666666,0.75,0.32608695652173914,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.625,0.8125,1.0,0.0,0.0,0.0,0.0,1.0
