frame,rgb_x_0,rgb_x_1,rgb_x_2,rgb_x_3,rgb_x_4,rgb_x_5,rgb_x_6,rgb_x_7,rgb_x_8,rgb_x_9,rgb_x_10,rgb_x_11,rgb_x_12,rgb_x_13,rgb_x_14,rgb_x_15,rgb_x_16,rgb_x_17,rgb_y_0,rgb_y_1,rgb_y_2,rgb_y_3,rgb_y_4,rgb_y_5,rgb_y_6,rgb_y_7,rgb_y_8,rgb_y_9,rgb_y_10,rgb_y_11,rgb_y_12,rgb_y_13,rgb_y_14,rgb_y_15,rgb_y_16,rgb_y_17
0,0.5,1.0,0.0,0.6666666666666666,0.0,0.5,0.2,0.3333333333333333,1.0,1.0,0,1.0,0.0,0,0.45,0.5,0.3333333333333333,0.6666666666666666,0.08,0.1111111111111111,0.0625,0.16666666666666666,0.1,0.10526315789473684,0.3793103448275862,0.48717948717948717,0.1111111111111111,0.2,0.0,0.1,0.125,0.0,0.14814814814814814,0.17857142857142858,0.0,0.043478260869565216
1,0.5,1.0,0.0,0.6666666666666666,0.0,0.5,0.2,0.3333333333333333,1.0,1.0,0,1.0,0.0,0,0.45,0.5,0.3333333333333333,0.6666666666666666,0.08,0.1111111111111111,0.0625,0.16666666666666666,0.1,0.10526315789473684,0.3793103448275862,0.48717948717948717,0.1111111111111111,0.2,0.0,0.1,0.125,1.0,0.14814814814814814,0.17857142857142858,0.0,0.043478260869565216
2,0.5,1.0,0.0,0.6666666666666666,0.0,0.5,0.2,0.3333333333333333,1.0,1.0,0,1.0,0.0,0,0.45,0.5,0.3333333333333333,0.6666666666666666,0.08,0.1111111111111111,0.0625,0.16666666666666666,0.1,0.10526315789473684,0.3793103448275862,0.48717948717948717,0.1111111111111111,0.2,0.0,0.1,0.125,0.0,0.14814814814814814,0.17857142857142858,0.0,0.043478260869565216
3,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.2,0.3333333333333333,1.0,1.0,0,1.0,0.0,0,0.45,0.5,0.3333333333333333,0.3333333333333333,0.08,0.05555555555555555,0.0625,0.16666666666666666,0.1,0.10526315789473684,0.3793103448275862,0.48717948717948717,0.1111111111111111,0.0,1.0,0.1,0.0,0.0,0.14814814814814814,0.17857142857142858,0.0,0.043478260869565216
4,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.2,0.3333333333333333,1.0,1.0,0,1.0,0.0,0,0.45,0.5,0.3333333333333333,0.6666666666666666,0.08,0.05555555555555555,0.0625,0.16666666666666666,0.1,0.10526315789473684,0.3793103448275862,0.5128205128205128,0.1111111111111111,0.2,0.0,0.0,0.0,1.0,0.18518518518518517,0.21428571428571427,0.045454545454545456,0.08695652173913043
5,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.2,0.3333333333333333,1.0,1.0,0,1.0,0.0,0,0.45,0.5,0.3333333333333333,0.6666666666666666,0.12,0.05555555555555555,0.0625,0.16666666666666666,0.1,0.10526315789473684,0.3793103448275862,0.48717948717948717,0.1111111111111111,0.2,0.0,0.0,0.0,0.0,0.18518518518518517,0.21428571428571427,0.045454545454545456,0.08695652173913043
6,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.2,0.3333333333333333,1.0,1.0,0,1.0,0.0,0,0.45,0.5,0.3333333333333333,0.3333333333333333,0.12,0.05555555555555555,0.0625,0.16666666666666666,0.1,0.10526315789473684,0.3793103448275862,0.5128205128205128,0.1111111111111111,0.2,0.0,0.1,0.125,1.0,0.18518518518518517,0.21428571428571427,0.045454545454545456,0.08695652173913043
7,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.2,0.3333333333333333,1.0,1.0,0,1.0,0.0,0,0.45,0.0,0.3333333333333333,0.3333333333333333,0.12,0.1111111111111111,0.0625,0.16666666666666666,0.1,0.10526315789473684,0.3793103448275862,0.5128205128205128,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.25,0.045454545454545456,0.08695652173913043
8,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.2,0.3333333333333333,1.0,1.0,0,1.0,0.0,0,0.45,0.5,0.3333333333333333,0.6666666666666666,0.16,0.1111111111111111,0.125,0.16666666666666666,0.1,0.10526315789473684,0.3793103448275862,0.5128205128205128,0.1111111111111111,0.2,1.0,0.0,0.0,1.0,0.2222222222222222,0.25,0.09090909090909091,0.08695652173913043
9,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.2,0.3333333333333333,1.0,1.0,0,1.0,0.0,0,0.45,0.5,0.3333333333333333,0.6666666666666666,0.16,0.1111111111111111,0.125,0.16666666666666666,0.1,0.10526315789473684,0.3793103448275862,0.5128205128205128,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,0.2222222222222222,0.25,0.09090909090909091,0.13043478260869565
