frame,rgb_z_0,rgb_z_1,rgb_z_2,rgb_z_3,rgb_z_4,rgb_z_5,rgb_z_6,rgb_z_7,rgb_z_8,rgb_z_9,rgb_z_10,rgb_z_11,rgb_z_12,rgb_z_13,rgb_z_14,rgb_z_15,rgb_z_16,rgb_z_17
0,27.22,27.43,27.65,28.1,27.88,27.88,28.1,27.88,27.43,28.1,28.81,27.43,28.1,29.05,27.43,27.22,27.43,27.43
1,27.22,27.43,27.65,28.1,27.88,27.88,28.1,27.88,27.43,28.1,28.81,27.43,28.1,29.05,27.43,27.22,27.43,28.1
2,27.22,27.43,27.65,28.1,28.1,27.88,28.34,27.88,27.43,28.1,28.57,27.43,28.34,29.05,27.22,27.22,27.22,28.34
3,27.22,27.65,27.65,28.1,27.88,27.88,28.1,27.88,27.43,28.1,28.57,27.43,28.1,29.05,27.43,27.22,27.22,28.1
4,27.22,27.43,27.65,28.1,27.88,27.88,28.1,27.88,27.65,28.1,28.81,27.43,28.1,29.05,27.22,27.22,27.22,27.43
5,27.22,27.43,27.88,28.1,27.88,27.88,28.34,27.88,27.43,28.1,28.57,27.43,28.1,29.05,27.43,27.22,27.1,27.43
6,27.22,27.43,27.88,27.88,28.1,27.88,28.1,27.88,27.43,28.1,28.81,27.43,28.1,29.05,27.43,27.22,27.43,27.43
7,27.22,27.43,27.88,28.1,27.88,27.88,28.34,27.88,27.43,28.1,28.81,27.43,28.1,28.81,27.22,27.22,27.43,27.43
8,27.22,27.43,27.88,28.1,27.88,27.88,28.81,27.65,27.43,28.1,28.81,27.65,28.1,28.81,27.22,27.22,27.43,27.65
9,27.22,27.43,27.88,28.1,27.88,27.88,28.81,27.88,27.43,28.1,28.57,27.43,28.1,29.05,27.22,27.22,27.43,27.65
10,27.22,27.43,28.1,28.34,27.65,27.88,28.57,27.01,27.43,28.1,28.57,27.43,28.1,28.81,27.22,27.22,27.43,27.65
11,27.22,27.65,28.1,28.34,28.1,27.65,28.1,26.59,27.65,28.1,28.81,27.43,28.1,29.05,27.22,27.22,27.43,27.88
12,27.43,27.65,28.1,28.34,27.88,27.88,27.01,25.42,27.43,28.1,28.81,27.43,28.1,29.05,27.43,27.22,27.43,27.88
13,27.43,27.65,28.1,28.34,27.88,27.88,26.19,27.88,27.43,28.1,28.57,27.43,28.1,29.05,27.43,27.43,27.43,27.65
14,27.43,27.65,28.1,28.34,27.65,24.51,25.42,24.51,27.43,28.1,28.81,27.43,28.34,29.05,27.43,27.43,27.43,27.65
15,27.43,28.1,28.34,27.65,27.65,23.67,25.05,24.17,27.65,28.1,28.57,27.43,28.1,29.05,27.43,27.43,27.43,27.88
16,27.43,28.1,28.34,27.88,27.88,23.2,27.32,27.65,27.43,28.1,28.57,27.43,28.34,29.05,27.43,27.43,27.43,27.88
17,27.43,26.8,28.34,27.01,28.34,23.2,27.32,24.34,27.43,28.1,28.81,27.43,28.1,29.05,27.43,27.43,27.43,27.88
18,27.43,28.1,28.34,26.39,28.1,23.67,27.32,27.65,27.43,28.1,28.57,27.43,28.1,29.05,27.43,27.43,27.1,27.88
19,27.43,28.1,25.8,25.8,28.1,24.34,27.32,24.17,27.65,28.1,28.81,27.43,28.1,29.05,27.65,27.43,27.1,28.1
20,28.1,28.1,28.1,25.6,27.65,28.34,26.59,25.6,27.43,28.1,28.81,27.43,28.1,29.05,28.1,27.43,24.17,28.1
21,27.43,28.1,24.87,27.35,27.43,28.1,26.59,28.1,27.65,28.1,28.81,27.43,28.1,29.05,27.43,27.43,23.67,28.1
22,27.43,27.88,23.04,27.35,27.22,28.1,26.59,28.57,27.43,28.1,28.81,27.43,28.1,29.05,27.43,27.43,27.43,28.1
23,27.43,27.88,23.04,27.35,27.43,26.19,26.39,28.57,27.43,28.34,28.81,27.43,28.1,29.05,27.65,27.43,27.65,28.1
24,27.43,27.88,27.22,25.6,27.88,27.43,26.39,26.19,27.43,28.1,28.57,27.43,28.1,29.05,27.43,27.43,27.65,28.1
25,27.43,27.88,27.43,25.8,28.1,28.34,26.59,27.88,27.43,28.1,28.81,27.43,28.1,29.05,27.43,27.43,27.43,24.87
26,27.43,27.65,27.43,27.22,27.41,28.1,27.32,27.65,27.43,27.88,28.81,27.43,28.1,29.05,27.43,27.43,27.43,28.1
27,27.43,26.39,26.8,28.1,27.41,27.65,27.32,27.43,27.43,28.1,28.57,27.43,28.1,29.05,27.43,27.43,27.65,27.88
28,27.43,27.43,26.39,27.35,27.41,27.65,27.32,28.1,27.43,27.88,28.81,27.43,28.1,29.05,27.43,27.43,27.65,27.65
29,27.43,27.43,26.39,25.99,27.22,27.43,27.32,28.1,27.43,27.88,28.81,27.43,28.1,29.05,27.43,27.43,27.43,27.88
30,25.05,27.65,27.43,25.6,25.42,27.65,27.32,24.0,27.43,27.88,28.81,27.43,28.1,28.81,24.87,27.43,24.87,27.65
31,27.43,27.88,27.65,25.8,25.05,24.51,26.59,24.34,27.43,27.88,28.81,27.22,28.1,29.05,24.51,24.34,24.34,27.88
32,27.43,28.1,27.22,27.35,27.43,25.6,27.32,25.6,27.22,27.88,28.57,27.22,28.1,29.05,27.43,27.43,23.2,28.1
33,27.43,25.23,25.6,27.35,27.41,26.19,27.32,27.43,27.22,27.88,28.57,27.22,27.88,29.05,27.43,27.43,27.65,28.1
