frame,rgb_z_0,rgb_z_1,rgb_z_2,rgb_z_3,rgb_z_4,rgb_z_5,rgb_z_6,rgb_z_7,rgb_z_8,rgb_z_9,rgb_z_10,rgb_z_11,rgb_z_12,rgb_z_13
0,28.1,28.57,28.1,28.57,28.34,28.57,29.05,28.81,28.1,28.81,29.05,28.1,29.05,29.3
1,28.1,28.34,28.34,28.34,28.57,28.57,29.05,28.81,28.1,28.57,29.05,28.1,28.81,29.3
2,28.1,28.57,28.34,28.34,28.1,28.34,29.05,28.81,28.1,28.57,29.3,28.1,28.81,29.3
3,28.1,28.34,28.1,28.57,28.34,28.34,29.05,28.81,28.1,28.57,29.3,28.1,28.81,29.55
4,28.1,28.34,28.1,28.34,28.34,28.34,29.05,28.81,28.1,28.81,29.05,28.1,29.05,29.3
5,28.1,28.34,28.1,28.57,28.34,28.34,29.05,28.81,28.1,28.57,29.3,28.1,29.05,29.3
6,28.1,28.34,28.1,28.34,28.34,28.34,28.81,28.81,27.88,28.57,29.3,27.88,29.05,29.3
7,28.1,28.34,28.1,28.34,28.1,28.1,28.81,28.81,27.88,28.57,29.05,27.88,28.81,29.3
8,28.1,28.34,28.1,28.1,28.1,27.88,28.81,28.81,27.88,28.57,29.05,27.88,28.81,29.55
9,28.1,28.34,28.1,27.88,27.65,27.88,28.81,27.68,28.1,28.57,29.3,27.88,29.05,29.3
10,28.1,28.34,28.1,27.43,27.01,28.1,28.57,27.65,28.1,28.57,29.05,27.88,28.81,29.3
11,27.88,28.34,28.1,27.43,26.39,28.34,27.88,27.68,27.88,28.34,29.05,28.1,28.81,29.3
12,27.88,28.34,27.88,27.22,26.19,28.1,27.88,27.01,28.1,28.57,29.05,27.88,29.05,29.3
13,27.65,28.1,27.65,26.19,25.05,28.1,27.43,26.39,28.1,28.34,29.05,27.88,28.57,29.3
14,27.65,28.1,27.43,25.6,24.69,27.88,27.01,25.23,28.1,28.34,29.05,27.88,28.34,29.3
15,27.65,28.1,27.43,25.8,26.92,27.88,26.8,25.6,27.88,28.1,29.05,27.88,28.34,29.3
16,27.43,27.88,27.01,23.04,28.1,27.65,23.35,27.68,28.1,27.88,28.81,27.88,28.34,29.05
17,27.43,28.1,26.8,23.67,23.04,27.65,27.23,27.88,28.1,27.65,28.81,28.1,28.1,29.3
18,27.43,27.88,25.05,27.65,22.44,27.5,23.04,27.22,28.1,27.43,28.81,28.1,27.65,29.05
19,27.43,27.88,24.0,27.22,27.65,28.1,27.43,27.43,28.1,27.43,28.81,28.34,27.43,29.05
20,27.22,27.65,27.15,27.43,27.88,27.88,27.88,27.43,28.1,27.22,28.57,28.1,27.43,29.05
21,27.22,27.65,24.69,27.43,27.65,23.04,28.34,27.43,28.34,27.22,28.81,28.34,27.22,28.81
22,26.8,27.43,27.15,28.1,28.1,28.1,28.57,28.1,28.1,27.01,28.81,28.34,27.01,29.05
23,27.01,27.65,24.34,27.88,28.1,23.67,28.1,27.88,28.34,26.8,28.81,28.34,27.22,29.05
24,26.8,27.43,24.87,28.1,28.1,23.67,28.1,28.1,28.34,26.59,28.81,28.1,27.01,29.05
25,26.8,27.43,25.23,27.88,28.34,26.19,23.35,28.1,28.34,26.8,28.57,28.1,27.01,28.81
26,26.8,27.43,25.8,23.67,28.1,26.39,23.51,27.88,28.34,26.8,28.34,28.1,26.8,28.81
27,27.01,27.22,26.59,24.0,23.35,26.8,24.69,22.74,28.34,26.8,28.34,28.1,27.22,28.81
28,27.62,27.22,27.01,24.34,23.67,27.43,24.69,23.51,28.34,26.8,28.1,28.1,27.22,28.81
29,27.62,26.59,27.15,26.39,24.51,27.5,26.59,27.01,28.34,27.22,28.1,27.65,27.65,27.65
30,27.62,26.59,27.15,27.01,26.59,27.5,27.22,27.22,23.2,27.43,27.01,23.04,27.88,26.59
31,27.62,26.8,27.15,26.8,26.8,27.5,27.22,27.22,23.2,27.43,27.01,23.04,27.88,27.43
32,27.62,26.8,27.15,26.9,27.43,27.5,27.23,27.88,23.67,28.1,28.1,27.66,28.1,28.57
33,27.62,27.78,27.15,26.9,26.92,27.5,27.23,27.68,24.17,28.34,27.22,27.22,28.34,27.43
34,27.62,27.78,27.15,26.9,26.92,27.43,27.23,27.68,23.84,28.34,27.22,27.22,28.34,26.59
35,27.62,27.78,27.15,26.9,26.92,27.5,27.23,27.68,24.17,28.1,27.43,27.22,28.1,27.88
36,27.62,27.22,27.15,26.9,26.92,27.5,27.23,27.68,23.67,28.1,27.88,27.66,28.34,28.1
37,27.62,27.01,27.15,26.9,26.92,27.5,27.23,27.68,22.74,27.88,27.22,22.59,28.1,27.65
38,27.62,27.01,27.15,26.9,26.92,27.5,27.23,27.68,22.44,27.88,28.34,27.88,28.1,28.34
39,27.62,27.01,27.15,26.9,26.92,27.5,27.23,27.68,28.34,27.65,28.81,28.1,28.1,28.81
40,27.62,27.22,27.43,26.9,26.92,27.88,24.0,27.68,28.34,27.88,28.57,28.1,28.1,29.05
41,27.62,27.43,27.22,26.9,26.92,27.65,23.51,27.68,28.1,27.88,29.05,28.1,28.1,29.05
42,27.43,27.88,27.22,26.9,26.92,27.43,23.51,27.68,28.1,28.34,29.05,28.34,28.34,29.3
43,27.43,27.88,27.43,24.17,26.92,27.43,28.81,28.81,28.1,28.57,29.05,28.1,28.57,29.3
44,27.43,28.1,27.65,26.9,26.92,27.65,27.23,29.3,28.1,28.81,29.3,27.88,28.81,29.3
45,27.65,28.1,27.65,26.9,26.92,27.88,28.81,27.68,28.1,29.05,29.3,27.88,29.05,29.3
46,27.65,28.1,27.65,26.9,26.92,27.88,28.57,28.57,27.88,28.81,29.3,27.88,29.05,29.3
47,27.88,28.1,27.88,26.9,26.92,28.1,29.05,29.3,27.65,28.81,29.3,27.88,29.05,29.3
48,27.88,28.1,27.88,26.9,26.92,28.1,28.57,28.57,28.1,28.81,29.05,28.34,28.81,29.3
