frame,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,-0.97811,-0.36947,-0.08105,-34.50382,-4.73282,-0.62087
1,-1.04216,-0.33114,-0.15047,-46.65649,-7.91857,-9.22137
2,-1.11629,-0.52865,-0.33846,-3.69466,27.22646,-37.84224
3,-1.20028,-0.76676,-0.44458,4.92621,68.85496,-69.63868
4,-1.35148,-1.03076,-0.55575,-31.70483,120.22392,-120.53944
5,-1.36629,-1.05168,-0.60091,-93.73028,170.0458,-161.89313
6,-1.30526,-1.05933,-0.56079,-158.62595,213.84224,-176.96692
7,-1.10384,-0.84814,-0.57894,-202.41221,250.14758,-167.1145
8,-0.79264,-0.63916,-0.38802,-254.43257,274.84987,-148.07125
9,-0.49626,-0.3641,-0.35514,-189.44529,241.09924,-146.50382
10,-0.31909,-0.11597,-0.13932,-119.5827,189.89313,-176.69211
11,-0.05021,0.51237,-0.07951,-78.00509,131.30789,-221.8117
12,0.04167,1.22477,-0.22298,-64.3257,76.07125,-179.6743
13,0.05721,1.74666,-0.35856,-45.45547,43.03308,-5.99491
14,0.09163,1.4681,-0.40063,-38.6972,54.61578,200.99746
15,0.19116,0.28532,-0.39893,23.63359,59.40967,339.48092
16,0.1429,-1.02612,-0.34676,44.02036,75.68448,341.13995
17,0.493,-2.09456,0.0647,43.62341,110.97201,177.54707
18,0.62899,-1.67782,0.1438,-1.45547,-13.52672,-107.45038
19,0.5485,-0.63281,-0.21151,22.62595,-87.04326,-278.94148
20,0.2701,0.32601,-0.61247,-0.95674,-104.69211,-353.50636
21,-0.02466,1.35758,-0.7194,-58.41221,-37.0687,-290.4631
22,0.13281,2.28231,-0.75366,-37.68957,27.97964,-105.50636
23,0.25651,1.69954,-0.42179,-25.45547,41.9542,126.15776
24,0.29549,0.91113,-0.38794,-59.01272,48.70229,269.56743
25,0.39062,-0.18132,-0.31396,-18.21883,49.85242,312.92621
26,0.36605,-1.29508,-0.02132,-7.82697,64.86514,255.21628
27,0.66243,-1.88802,0.24927,4.38677,42.514,65.55725
28,0.72339,-1.20719,0.13338,30.36132,-51.73537,-170.63613
29,0.47827,-0.25228,-0.37248,66.2799,-92.68193,-296.44784
30,0.03678,0.49129,-0.63892,32.49873,-86.3715,-337.89313
31,-0.2019,1.74308,-0.65902,-16.0,-28.11196,-292.93639
32,0.00171,2.28963,-0.6027,-23.83715,10.16794,-118.34097
33,0.14876,1.90422,-0.34871,-10.86005,0.82443,133.08906
34,0.13151,1.12476,-0.44132,-42.32061,-3.77608,286.50382
35,0.16366,0.08187,-0.41862,-3.54198,21.92366,339.22646
36,0.28508,-0.75171,-0.1993,15.77608,56.93639,276.3257
37,0.55461,-1.47599,0.06535,-7.87786,38.31043,136.9771
38,0.80599,-1.00439,0.06055,-15.19593,-29.9542,-44.66158
39,0.77653,-0.48397,-0.13932,13.59796,-69.34351,-134.64631
40,0.70703,0.00781,-0.39754,6.67684,-85.42494,-179.24682
41,0.5376,0.36922,-0.46021,19.46056,-91.43003,-186.79898
42,0.39795,0.82194,-0.58195,19.51145,-82.86005,-158.01527
43,0.37183,0.88298,-0.67521,31.96947,-71.95929,-79.32824
44,0.28385,0.61979,-0.61662,59.3486,-82.22901,-16.2341
45,0.21769,0.49447,-0.44157,61.90331,-90.03562,19.40967
46,0.1696,0.44735,-0.40226,133.00763,-126.61578,60.68193
47,-0.05672,0.18783,-0.35018,243.17557,-193.37405,123.26718
48,-0.49146,-0.33024,-0.45426,244.76336,-199.7659,184.53944
49,-0.78076,-0.49797,-0.57292,124.30534,-191.13486,197.12977
50,-1.13395,-0.45394,-0.52718,145.69975,-177.3028,199.04326
51,-1.37956,-0.59733,-0.56868,175.20611,-149.49618,206.06616
52,-1.50423,-0.6276,-0.40918,143.83715,-110.58524,203.3486
53,-1.34709,-0.62036,-0.23307,97.6285,-55.50127,138.91094
54,-1.19116,-0.4939,-0.19035,86.49364,-41.90331,51.80662
55,-1.05941,-0.40202,-0.15674,79.88804,-47.21628,10.79898
56,-1.04036,-0.35864,0.0013,83.9084,-46.16794,9.93384
57,-0.99927,-0.31641,-0.01099,96.77354,-48.01018,16.85496
58,-1.00553,-0.34855,0.01033,70.02544,-51.70483,10.17812
59,-1.06217,-0.27043,0.04818,49.8117,-33.46565,6.95165
60,-0.99455,-0.18368,-0.11572,61.20102,19.65394,0.21374
61,-0.99642,-0.13265,0.1036,40.35623,22.2799,4.8855
