frame,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,-1.11393,-0.41789,0.04647,12.52926,16.31552,-24.31552
1,-1.14331,-0.62842,-0.00675,13.44529,44.47837,-60.50891
2,-1.2439,-0.80925,-0.0026,-2.6056,72.22392,-111.37913
3,-1.35547,-1.05046,-0.02075,-40.69211,116.47837,-166.01527
4,-1.36768,-1.10474,-0.08879,-126.36132,179.85751,-218.89059
5,-1.23405,-0.99544,-0.22103,-145.92366,227.30789,-252.54962
6,-0.89185,-0.87126,-0.4117,-140.99746,253.73028,-263.63359
7,-0.47786,-0.67407,-0.448,-173.04835,269.04835,-243.81679
8,-0.04126,-0.2797,-0.35213,-156.72265,275.79644,-214.56489
9,0.28866,-0.2019,-0.21574,-111.33842,256.90585,-195.27735
10,0.48722,-0.03068,-0.05021,-111.64377,224.68193,-166.49364
11,0.55428,0.08073,0.17537,-122.23919,209.74046,-149.17048
12,0.64933,0.30428,0.39779,-104.92621,188.96692,-140.02036
13,0.64233,0.40999,0.65495,-99.03308,152.44784,-129.02799
14,0.61825,0.56942,0.79858,-82.65649,116.75318,-111.06361
15,0.6818,0.71989,1.10604,-68.08143,86.44275,-88.49873
16,0.78174,1.19792,1.91756,-41.05852,36.13232,-15.05344
17,1.10702,1.1285,1.92098,37.38422,-204.9771,123.12468
18,0.12524,0.14421,1.35392,203.69466,-479.0229,235.62341
19,-2.07812,-0.48983,-0.39209,147.19593,-528.26463,206.02545
20,-0.05599,0.12744,-0.61841,-190.31043,-209.23155,174.74809
21,0.47209,-0.1084,-0.81047,158.17812,38.41221,-74.1374
22,0.65698,0.00627,-0.50993,167.74555,-9.64885,-82.96183
23,0.48364,-0.28573,-0.56144,75.38931,-37.7201,-35.92875
24,0.37508,0.04199,-0.5564,-9.15013,-41.03817,-41.69975
25,0.30168,-0.03231,-0.47729,57.76081,-32.99746,-59.45038
26,0.27596,0.00521,-0.41968,35.61323,-37.11959,-39.91858
27,0.37061,0.04899,-0.39437,51.68448,-53.83206,-3.26718
28,0.1897,-0.02034,-0.42993,80.14249,-80.02036,68.82443
29,-0.0083,-0.20085,-0.35295,171.12468,-109.02799,135.19593
30,-0.4047,-0.87801,-0.33488,209.15013,-129.2112,217.04835
31,-0.65356,-1.09334,-0.46468,148.24427,-148.06107,260.79389
32,-1.01253,-1.30404,-0.42529,171.94911,-163.94911,243.26718
33,-1.24194,-1.22087,-0.3383,152.28499,-153.76081,234.92112
34,-1.29354,-0.91602,-0.04403,124.73282,-103.33842,200.92621
35,-1.31714,-0.91781,0.03499,130.22901,-27.39949,170.99237
36,-1.14331,-0.76416,0.04801,36.03053,-50.62595,136.4173
37,-1.06771,-0.42098,0.12354,3.78626,-58.82952,65.59796
38,-1.03377,-0.27995,0.15088,32.68193,-38.12723,9.80153
39,-1.04793,-0.27083,0.21419,45.16031,-20.83461,-9.11959
40,-1.02482,-0.13509,0.25643,-8.92621,-3.92875,7.36896
41,-0.96989,-0.10213,0.3055,-19.40967,-3.62341,9.63868
