model_names,parameters,accuracy_score,balanced_accuracy_score,precision_score,recall_score,f1_score
gaussian_naive_bayes,None=None,52.477,52.523,61.806,54.502,51.243
support_vector_classifier,kernel=linear,69.35,69.357,73.063,69.35,68.138
support_vector_classifier,kernel=poly,100.0,100.0,100.0,100.0,100.0
support_vector_classifier,kernel=rbf,99.845,99.839,99.851,99.845,99.845
decision_tree_classifier,"splitter=best, max_depth=2, criterion=gini",11.765,11.883,12.082,80.0,20.768
decision_tree_classifier,"splitter=random, max_depth=2, criterion=gini",12.074,12.037,18.049,81.25,28.055
decision_tree_classifier,"splitter=best, max_depth=3, criterion=gini",19.35,19.444,20.967,65.445,30.613
decision_tree_classifier,"splitter=random, max_depth=3, criterion=gini",19.04,19.129,22.601,73.653,32.299
decision_tree_classifier,"splitter=best, max_depth=4, criterion=gini",26.161,26.235,35.251,54.341,36.772
decision_tree_classifier,"splitter=random, max_depth=4, criterion=gini",23.529,23.564,34.344,52.962,33.101
decision_tree_classifier,"splitter=best, max_depth=5, criterion=gini",38.854,38.875,52.135,47.628,41.672
decision_tree_classifier,"splitter=random, max_depth=5, criterion=gini",30.805,30.837,44.132,48.894,39.531
decision_tree_classifier,"splitter=best, max_depth=6, criterion=gini",50.31,50.309,61.527,50.31,48.813
decision_tree_classifier,"splitter=random, max_depth=6, criterion=gini",39.009,39.01,49.599,45.735,39.673
decision_tree_classifier,"splitter=best, max_depth=7, criterion=gini",59.752,59.729,64.915,59.752,58.152
decision_tree_classifier,"splitter=random, max_depth=7, criterion=gini",50.929,50.966,58.582,52.894,51.788
decision_tree_classifier,"splitter=best, max_depth=2, criterion=entropy",11.765,11.883,12.082,80.0,20.768
decision_tree_classifier,"splitter=random, max_depth=2, criterion=entropy",10.836,10.943,11.408,73.684,19.438
decision_tree_classifier,"splitter=best, max_depth=3, criterion=entropy",15.944,16.049,16.176,53.927,23.614
decision_tree_classifier,"splitter=random, max_depth=3, criterion=entropy",12.384,12.513,16.614,56.338,23.539
decision_tree_classifier,"splitter=best, max_depth=4, criterion=entropy",21.672,21.759,24.942,48.78,27.238
decision_tree_classifier,"splitter=random, max_depth=4, criterion=entropy",19.814,19.881,33.683,41.29,25.988
decision_tree_classifier,"splitter=best, max_depth=5, criterion=entropy",32.353,32.401,33.624,45.934,34.175
decision_tree_classifier,"splitter=random, max_depth=5, criterion=entropy",28.483,28.536,31.403,48.168,33.559
decision_tree_classifier,"splitter=best, max_depth=6, criterion=entropy",45.82,45.82,50.212,45.82,42.455
decision_tree_classifier,"splitter=random, max_depth=6, criterion=entropy",39.628,39.687,45.955,46.545,39.837
