model_names,parameters,accuracy_score,balanced_accuracy_score,precision_score,recall_score,f1_score
gaussian_naive_bayes,None=None,37.771,37.842,54.812,39.228,34.97
support_vector_classifier,kernel=linear,46.44,46.504,51.463,48.232,44.11
support_vector_classifier,kernel=poly,98.762,98.765,98.823,98.762,98.764
support_vector_classifier,kernel=rbf,97.523,97.511,97.751,97.523,97.542
decision_tree_classifier,"splitter=best, max_depth=2, criterion=gini",11.765,11.883,12.082,80.0,20.768
decision_tree_classifier,"splitter=random, max_depth=2, criterion=gini",12.074,12.191,21.991,82.105,29.94
decision_tree_classifier,"splitter=best, max_depth=3, criterion=gini",17.028,17.13,18.784,57.592,27.206
decision_tree_classifier,"splitter=random, max_depth=3, criterion=gini",14.861,14.962,25.806,50.262,27.361
decision_tree_classifier,"splitter=best, max_depth=4, criterion=gini",26.161,26.235,31.184,54.341,35.831
decision_tree_classifier,"splitter=random, max_depth=4, criterion=gini",21.517,21.592,24.874,52.852,31.18
decision_tree_classifier,"splitter=best, max_depth=5, criterion=gini",34.52,34.561,40.868,44.334,36.484
decision_tree_classifier,"splitter=random, max_depth=5, criterion=gini",25.232,25.309,38.564,42.559,30.395
decision_tree_classifier,"splitter=best, max_depth=6, criterion=gini",43.034,43.056,51.839,43.034,40.025
decision_tree_classifier,"splitter=random, max_depth=6, criterion=gini",32.043,32.072,46.68,41.153,34.137
decision_tree_classifier,"splitter=best, max_depth=7, criterion=gini",53.406,53.388,58.465,53.406,51.2
decision_tree_classifier,"splitter=random, max_depth=7, criterion=gini",42.26,42.364,46.346,42.26,39.029
decision_tree_classifier,"splitter=best, max_depth=2, criterion=entropy",11.765,11.883,12.082,80.0,20.768
decision_tree_classifier,"splitter=random, max_depth=2, criterion=entropy",8.824,8.796,9.249,59.375,15.273
decision_tree_classifier,"splitter=best, max_depth=3, criterion=entropy",13.622,13.735,13.951,46.073,20.076
decision_tree_classifier,"splitter=random, max_depth=3, criterion=entropy",15.635,15.586,17.4,60.119,25.227
decision_tree_classifier,"splitter=best, max_depth=4, criterion=entropy",20.433,20.525,23.552,42.444,24.849
decision_tree_classifier,"splitter=random, max_depth=4, criterion=entropy",19.969,20.062,24.948,38.507,24.475
decision_tree_classifier,"splitter=best, max_depth=5, criterion=entropy",27.864,27.919,25.533,44.226,30.336
decision_tree_classifier,"splitter=random, max_depth=5, criterion=entropy",27.709,27.711,36.442,32.545,28.791
decision_tree_classifier,"splitter=best, max_depth=6, criterion=entropy",37.152,37.171,44.497,43.636,36.286
decision_tree_classifier,"splitter=random, max_depth=6, criterion=entropy",33.437,33.514,37.465,37.631,33.107
decision_tree_classifier,"splitter=best, max_depth=7, criterion=entropy",48.762,48.826,50.119,48.762,45.095
decision_tree_classifier,"splitter=random, max_depth=7, criterion=entropy",40.867,40.922,53.642,42.444,38.81
random_forest_classifier,"n_estimators=20, max_depth=2, criterion=gini",16.718,16.821,29.766,34.727,18.69
random_forest_classifier,"n_estimators=40, max_depth=2, criterion=gini",19.659,19.753,41.34,44.251,25.012
random_forest_classifier,"n_estimators=60, max_depth=2, criterion=gini",17.647,17.747,29.161,36.656,22.561
random_forest_classifier,"n_estimators=80, max_depth=2, criterion=gini",19.505,19.599,42.258,30.958,20.647
random_forest_classifier,"n_estimators=100, max_depth=2, criterion=gini",15.17,15.278,48.79,34.146,19.147
random_forest_classifier,"n_estimators=20, max_depth=3, criterion=gini",29.721,29.791,53.448,44.651,34.159
random_forest_classifier,"n_estimators=40, max_depth=3, criterion=gini",29.721,29.784,45.787,44.548,32.958
random_forest_classifier,"n_estimators=60, max_depth=3, criterion=gini",32.972,33.025,48.369,46.813,35.407
random_forest_classifier,"n_estimators=80, max_depth=3, criterion=gini",32.198,32.253,52.023,43.424,33.453
random_forest_classifier,"n_estimators=100, max_depth=3, criterion=gini",32.508,32.562,53.944,46.154,36.868
random_forest_classifier,"n_estimators=20, max_depth=4, criterion=gini",41.176,41.21,55.695,50.57,41.228
random_forest_classifier,"n_estimators=40, max_depth=4, criterion=gini",43.808,43.847,62.465,53.802,46.711
random_forest_classifier,"n_estimators=60, max_depth=4, criterion=gini",42.879,42.915,61.22,55.179,46.001
random_forest_classifier,"n_estimators=80, max_depth=4, criterion=gini",44.272,44.304,61.862,56.972,48.673
random_forest_classifier,"n_estimators=100, max_depth=4, criterion=gini",42.415,42.445,57.659,54.582,45.907
random_forest_classifier,"n_estimators=20, max_depth=5, criterion=gini",52.786,52.838,66.011,54.823,49.498
random_forest_classifier,"n_estimators=40, max_depth=5, criterion=gini",52.786,52.811,70.891,54.823,49.625
random_forest_classifier,"n_estimators=60, max_depth=5, criterion=gini",53.715,53.751,73.017,55.788,50.57
random_forest_classifier,"n_estimators=80, max_depth=5, criterion=gini",54.489,54.509,70.43,58.863,52.317
random_forest_classifier,"n_estimators=100, max_depth=5, criterion=gini",55.573,55.616,73.5,57.717,52.353
