model_names,parameters,accuracy_score,balanced_accuracy_score,precision_score,recall_score,f1_score
gaussian_naive_bayes,None=None,27.09,27.134,63.428,43.103,36.856
support_vector_classifier,kernel=linear,87.926,87.936,88.21,87.926,87.754
support_vector_classifier,kernel=poly,100.0,100.0,100.0,100.0,100.0
support_vector_classifier,kernel=rbf,100.0,100.0,100.0,100.0,100.0
decision_tree_classifier,"splitter=best, max_depth=2, criterion=gini",10.991,10.957,29.922,73.958,27.21
decision_tree_classifier,"splitter=random, max_depth=2, criterion=gini",12.074,12.037,16.974,81.25,27.218
decision_tree_classifier,"splitter=best, max_depth=3, criterion=gini",15.789,15.895,26.696,61.078,27.653
decision_tree_classifier,"splitter=random, max_depth=3, criterion=gini",16.563,16.512,22.961,55.729,29.872
decision_tree_classifier,"splitter=best, max_depth=4, criterion=gini",25.851,25.926,41.184,53.698,38.682
decision_tree_classifier,"splitter=random, max_depth=4, criterion=gini",21.827,21.887,39.771,49.301,36.763
decision_tree_classifier,"splitter=best, max_depth=5, criterion=gini",35.913,35.957,51.448,53.828,43.749
decision_tree_classifier,"splitter=random, max_depth=5, criterion=gini",31.269,31.3,37.204,42.171,34.075
decision_tree_classifier,"splitter=best, max_depth=6, criterion=gini",45.356,45.471,58.779,53.273,50.328
decision_tree_classifier,"splitter=random, max_depth=6, criterion=gini",44.272,44.33,53.45,54.373,49.287
decision_tree_classifier,"splitter=best, max_depth=7, criterion=gini",53.406,53.469,70.096,55.466,54.106
decision_tree_classifier,"splitter=random, max_depth=7, criterion=gini",50.929,50.919,60.843,55.017,52.841
decision_tree_classifier,"splitter=best, max_depth=2, criterion=entropy",11.61,11.574,26.46,78.125,28.767
decision_tree_classifier,"splitter=random, max_depth=2, criterion=entropy",12.074,12.037,14.924,81.25,24.255
decision_tree_classifier,"splitter=best, max_depth=3, criterion=entropy",15.944,15.955,33.439,53.927,27.237
decision_tree_classifier,"splitter=random, max_depth=3, criterion=entropy",17.183,17.13,21.562,57.812,28.728
decision_tree_classifier,"splitter=best, max_depth=4, criterion=entropy",24.613,24.651,35.305,51.125,32.98
decision_tree_classifier,"splitter=random, max_depth=4, criterion=entropy",23.065,23.027,26.354,47.91,29.108
decision_tree_classifier,"splitter=best, max_depth=5, criterion=entropy",32.817,32.823,48.036,46.593,38.75
decision_tree_classifier,"splitter=random, max_depth=5, criterion=entropy",31.734,31.77,37.375,38.973,34.462
decision_tree_classifier,"splitter=best, max_depth=6, criterion=entropy",43.344,43.357,52.891,48.696,44.681
