model_names,parameters,accuracy_score,balanced_accuracy_score,precision_score,recall_score,f1_score
gaussian_naive_bayes,None=None,37.616,37.654,69.859,46.198,42.328
support_vector_classifier,kernel=linear,98.297,98.289,98.334,98.297,98.3
support_vector_classifier,kernel=poly,100.0,100.0,100.0,100.0,100.0
support_vector_classifier,kernel=rbf,100.0,100.0,100.0,100.0,100.0
decision_tree_classifier,"splitter=best, max_depth=2, criterion=gini",11.61,11.574,13.018,78.125,21.904
decision_tree_classifier,"splitter=random, max_depth=2, criterion=gini",13.467,13.58,15.145,91.579,25.728
decision_tree_classifier,"splitter=best, max_depth=3, criterion=gini",17.647,17.747,26.563,59.686,29.515
decision_tree_classifier,"splitter=random, max_depth=3, criterion=gini",17.337,17.284,20.795,58.333,28.776
decision_tree_classifier,"splitter=best, max_depth=4, criterion=gini",27.709,27.798,39.896,50.0,36.761
decision_tree_classifier,"splitter=random, max_depth=4, criterion=gini",25.077,25.114,34.472,56.446,38.253
decision_tree_classifier,"splitter=best, max_depth=5, criterion=gini",38.545,38.6,48.925,52.092,44.887
decision_tree_classifier,"splitter=random, max_depth=5, criterion=gini",32.663,32.656,43.513,46.374,37.963
decision_tree_classifier,"splitter=best, max_depth=6, criterion=gini",51.858,51.906,60.474,60.909,57.497
decision_tree_classifier,"splitter=random, max_depth=6, criterion=gini",43.653,43.592,49.918,49.043,45.028
decision_tree_classifier,"splitter=best, max_depth=7, criterion=gini",60.836,60.89,67.979,63.183,62.816
decision_tree_classifier,"splitter=random, max_depth=7, criterion=gini",52.941,52.959,62.98,54.984,52.752
decision_tree_classifier,"splitter=best, max_depth=2, criterion=entropy",11.61,11.574,26.46,78.125,28.767
decision_tree_classifier,"splitter=random, max_depth=2, criterion=entropy",11.765,11.728,12.599,79.167,21.538
decision_tree_classifier,"splitter=best, max_depth=3, criterion=entropy",16.873,16.881,29.292,57.068,28.678
decision_tree_classifier,"splitter=random, max_depth=3, criterion=entropy",16.099,16.049,17.456,54.167,25.099
decision_tree_classifier,"splitter=best, max_depth=4, criterion=entropy",25.387,25.423,32.051,62.357,38.7
decision_tree_classifier,"splitter=random, max_depth=4, criterion=entropy",20.588,20.525,25.593,39.583,26.628
decision_tree_classifier,"splitter=best, max_depth=5, criterion=entropy",33.282,33.28,42.812,42.744,36.064
decision_tree_classifier,"splitter=random, max_depth=5, criterion=entropy",32.817,32.85,42.739,46.696,37.266
decision_tree_classifier,"splitter=best, max_depth=6, criterion=entropy",45.82,45.82,51.9,47.512,44.571
decision_tree_classifier,"splitter=random, max_depth=6, criterion=entropy",41.641,41.613,52.294,44.908,42.269
decision_tree_classifier,"splitter=best, max_depth=7, criterion=entropy",58.514,58.521,66.099,58.514,56.498
decision_tree_classifier,"splitter=random, max_depth=7, criterion=entropy",53.406,53.449,59.176,53.406,52.133
random_forest_classifier,"n_estimators=20, max_depth=2, criterion=gini",30.341,30.381,49.852,48.157,36.957
random_forest_classifier,"n_estimators=40, max_depth=2, criterion=gini",34.211,34.246,45.825,54.3,42.82
random_forest_classifier,"n_estimators=60, max_depth=2, criterion=gini",35.294,35.319,52.037,56.02,44.859
random_forest_classifier,"n_estimators=80, max_depth=2, criterion=gini",37.461,37.493,50.686,59.459,47.907
random_forest_classifier,"n_estimators=100, max_depth=2, criterion=gini",35.449,35.46,53.925,53.132,43.551
random_forest_classifier,"n_estimators=20, max_depth=3, criterion=gini",47.368,47.363,60.408,55.535,48.827
random_forest_classifier,"n_estimators=40, max_depth=3, criterion=gini",50.929,50.926,65.113,62.429,55.05
random_forest_classifier,"n_estimators=60, max_depth=3, criterion=gini",48.916,48.913,64.337,54.957,47.61
random_forest_classifier,"n_estimators=80, max_depth=3, criterion=gini",49.845,49.839,63.551,58.439,51.797
random_forest_classifier,"n_estimators=100, max_depth=3, criterion=gini",47.368,47.377,64.468,53.217,47.171
random_forest_classifier,"n_estimators=20, max_depth=4, criterion=gini",60.681,60.675,70.98,60.681,57.185
random_forest_classifier,"n_estimators=40, max_depth=4, criterion=gini",60.526,60.501,69.797,60.526,57.203
random_forest_classifier,"n_estimators=60, max_depth=4, criterion=gini",66.873,66.841,74.966,66.873,65.283
random_forest_classifier,"n_estimators=80, max_depth=4, criterion=gini",63.158,63.117,74.532,65.49,63.257
random_forest_classifier,"n_estimators=100, max_depth=4, criterion=gini",59.752,59.722,72.573,61.958,58.939
random_forest_classifier,"n_estimators=20, max_depth=5, criterion=gini",72.446,72.41,76.975,72.446,71.14
random_forest_classifier,"n_estimators=40, max_depth=5, criterion=gini",76.316,76.288,80.786,76.316,75.551
random_forest_classifier,"n_estimators=60, max_depth=5, criterion=gini",76.006,75.966,81.143,76.006,74.78
random_forest_classifier,"n_estimators=80, max_depth=5, criterion=gini",78.483,78.449,84.262,78.483,77.808
random_forest_classifier,"n_estimators=100, max_depth=5, criterion=gini",75.077,75.034,80.48,75.077,73.914
random_forest_classifier,"n_estimators=20, max_depth=6, criterion=gini",86.533,86.541,88.307,86.533,86.309
random_forest_classifier,"n_estimators=40, max_depth=6, criterion=gini",85.913,85.896,88.267,85.913,85.627
random_forest_classifier,"n_estimators=60, max_depth=6, criterion=gini",88.235,88.231,89.838,88.235,87.65
random_forest_classifier,"n_estimators=80, max_depth=6, criterion=gini",90.248,90.231,91.888,90.248,89.865
random_forest_classifier,"n_estimators=100, max_depth=6, criterion=gini",88.7,88.688,90.674,88.7,88.389
random_forest_classifier,"n_estimators=20, max_depth=7, criterion=gini",95.201,95.209,95.658,95.201,95.211
