model_names,parameters,accuracy_score,balanced_accuracy_score,precision_score,recall_score,f1_score
gaussian_naive_bayes,None=None,60.217,60.212,66.256,62.54,60.93
support_vector_classifier,kernel=linear,89.628,89.627,89.94,89.628,89.428
support_vector_classifier,kernel=poly,100.0,100.0,100.0,100.0,100.0
support_vector_classifier,kernel=rbf,100.0,100.0,100.0,100.0,100.0
decision_tree_classifier,"splitter=best, max_depth=2, criterion=gini",12.074,12.037,13.658,81.25,22.805
decision_tree_classifier,"splitter=random, max_depth=2, criterion=gini",12.229,12.319,13.246,83.158,22.71
decision_tree_classifier,"splitter=best, max_depth=3, criterion=gini",18.266,18.21,21.026,61.458,28.492
decision_tree_classifier,"splitter=random, max_depth=3, criterion=gini",16.873,16.881,21.8,57.068,28.593
decision_tree_classifier,"splitter=best, max_depth=4, criterion=gini",26.316,26.375,45.431,47.486,35.644
decision_tree_classifier,"splitter=random, max_depth=4, criterion=gini",22.91,22.873,28.381,47.588,30.509
decision_tree_classifier,"splitter=best, max_depth=5, criterion=gini",37.771,37.755,52.923,51.046,44.097
decision_tree_classifier,"splitter=random, max_depth=5, criterion=gini",31.269,31.267,44.506,40.239,32.046
decision_tree_classifier,"splitter=best, max_depth=6, criterion=gini",49.536,49.49,58.217,51.447,48.741
decision_tree_classifier,"splitter=random, max_depth=6, criterion=gini",45.356,45.35,50.342,51.045,47.243
decision_tree_classifier,"splitter=best, max_depth=7, criterion=gini",61.3,61.279,68.899,61.3,60.919
decision_tree_classifier,"splitter=random, max_depth=7, criterion=gini",52.012,52.013,58.775,54.019,51.741
decision_tree_classifier,"splitter=best, max_depth=2, criterion=entropy",10.991,10.957,13.142,73.958,20.777
decision_tree_classifier,"splitter=random, max_depth=2, criterion=entropy",11.92,11.883,13.122,80.208,21.857
decision_tree_classifier,"splitter=best, max_depth=3, criterion=entropy",17.957,17.901,21.862,60.417,28.236
decision_tree_classifier,"splitter=random, max_depth=3, criterion=entropy",11.3,11.265,11.345,38.021,16.791
decision_tree_classifier,"splitter=best, max_depth=4, criterion=entropy",22.446,22.39,35.202,50.523,30.925
decision_tree_classifier,"splitter=random, max_depth=4, criterion=entropy",23.529,23.537,33.244,42.34,32.948
decision_tree_classifier,"splitter=best, max_depth=5, criterion=entropy",34.675,34.608,42.248,44.533,37.977
decision_tree_classifier,"splitter=random, max_depth=5, criterion=entropy",30.96,30.951,33.256,44.053,33.605
decision_tree_classifier,"splitter=best, max_depth=6, criterion=entropy",46.904,46.826,48.462,48.714,45.909
decision_tree_classifier,"splitter=random, max_depth=6, criterion=entropy",39.628,39.6,42.055,46.461,40.382
decision_tree_classifier,"splitter=best, max_depth=7, criterion=entropy",59.443,59.393,65.893,61.736,59.835
decision_tree_classifier,"splitter=random, max_depth=7, criterion=entropy",47.368,47.403,53.27,49.196,45.883
random_forest_classifier,"n_estimators=20, max_depth=2, criterion=gini",28.173,28.207,46.757,47.52,32.729
random_forest_classifier,"n_estimators=40, max_depth=2, criterion=gini",32.043,32.045,46.965,54.047,41.015
random_forest_classifier,"n_estimators=60, max_depth=2, criterion=gini",34.985,34.997,47.975,52.436,40.214
random_forest_classifier,"n_estimators=80, max_depth=2, criterion=gini",32.043,32.065,37.279,50.86,37.684
random_forest_classifier,"n_estimators=100, max_depth=2, criterion=gini",34.211,34.219,46.905,54.3,40.389
random_forest_classifier,"n_estimators=20, max_depth=3, criterion=gini",39.009,39.01,49.448,52.61,40.626
random_forest_classifier,"n_estimators=40, max_depth=3, criterion=gini",46.904,46.873,62.33,57.495,49.817
random_forest_classifier,"n_estimators=60, max_depth=3, criterion=gini",46.13,46.115,58.992,59.245,49.538
random_forest_classifier,"n_estimators=80, max_depth=3, criterion=gini",47.059,47.034,60.87,60.437,51.619
