model_names,parameters,accuracy_score,balanced_accuracy_score,precision_score,recall_score,f1_score
gaussian_naive_bayes,None=None,30.186,30.22,69.498,40.795,35.855
support_vector_classifier,kernel=linear,93.653,93.659,93.974,93.653,93.594
support_vector_classifier,kernel=poly,100.0,100.0,100.0,100.0,100.0
support_vector_classifier,kernel=rbf,100.0,100.0,100.0,100.0,100.0
decision_tree_classifier,"splitter=best, max_depth=2, criterion=gini",10.991,10.957,29.922,73.958,27.21
decision_tree_classifier,"splitter=random, max_depth=2, criterion=gini",12.384,12.346,16.845,83.333,26.647
decision_tree_classifier,"splitter=best, max_depth=3, criterion=gini",16.563,16.667,29.992,56.021,25.857
decision_tree_classifier,"splitter=random, max_depth=3, criterion=gini",18.421,18.465,31.785,71.257,35.477
decision_tree_classifier,"splitter=best, max_depth=4, criterion=gini",27.709,27.778,48.744,53.433,36.896
decision_tree_classifier,"splitter=random, max_depth=4, criterion=gini",22.755,22.772,37.394,55.894,34.185
decision_tree_classifier,"splitter=best, max_depth=5, criterion=gini",40.093,40.123,52.115,56.923,47.268
decision_tree_classifier,"splitter=random, max_depth=5, criterion=gini",33.746,33.763,47.442,45.511,42.501
decision_tree_classifier,"splitter=best, max_depth=6, criterion=gini",49.69,49.792,58.309,55.923,52.953
decision_tree_classifier,"splitter=random, max_depth=6, criterion=gini",42.415,42.452,47.819,49.818,44.893
decision_tree_classifier,"splitter=best, max_depth=7, criterion=gini",60.217,60.252,67.945,60.217,59.131
decision_tree_classifier,"splitter=random, max_depth=7, criterion=gini",53.251,53.268,59.826,55.305,53.449
decision_tree_classifier,"splitter=best, max_depth=2, criterion=entropy",11.61,11.574,26.46,78.125,28.767
decision_tree_classifier,"splitter=random, max_depth=2, criterion=entropy",8.978,8.951,9.58,60.417,16.291
decision_tree_classifier,"splitter=best, max_depth=3, criterion=entropy",15.789,15.801,22.572,61.078,29.49
decision_tree_classifier,"splitter=random, max_depth=3, criterion=entropy",14.396,14.392,26.214,55.689,28.97
decision_tree_classifier,"splitter=best, max_depth=4, criterion=entropy",24.458,24.497,36.438,47.164,32.461
decision_tree_classifier,"splitter=random, max_depth=4, criterion=entropy",22.446,22.477,36.416,60.669,36.833
decision_tree_classifier,"splitter=best, max_depth=5, criterion=entropy",34.675,34.682,47.809,49.231,41.593
decision_tree_classifier,"splitter=random, max_depth=5, criterion=entropy",36.223,36.259,45.647,51.429,42.319
decision_tree_classifier,"splitter=best, max_depth=6, criterion=entropy",47.059,47.054,56.213,57.685,53.085
decision_tree_classifier,"splitter=random, max_depth=6, criterion=entropy",40.867,40.835,54.23,47.913,43.963
decision_tree_classifier,"splitter=best, max_depth=7, criterion=entropy",59.288,59.293,64.293,61.576,59.188
decision_tree_classifier,"splitter=random, max_depth=7, criterion=entropy",59.443,59.44,63.347,59.443,59.245
random_forest_classifier,"n_estimators=20, max_depth=2, criterion=gini",32.198,32.126,44.736,54.308,37.694
random_forest_classifier,"n_estimators=40, max_depth=2, criterion=gini",32.663,32.696,57.422,48.956,37.92
random_forest_classifier,"n_estimators=60, max_depth=2, criterion=gini",30.96,30.958,42.835,52.219,39.101
random_forest_classifier,"n_estimators=80, max_depth=2, criterion=gini",30.805,30.817,50.722,48.894,36.259
random_forest_classifier,"n_estimators=100, max_depth=2, criterion=gini",33.901,33.937,54.38,53.808,41.254
random_forest_classifier,"n_estimators=20, max_depth=3, criterion=gini",42.26,42.271,57.326,54.274,46.133
random_forest_classifier,"n_estimators=40, max_depth=3, criterion=gini",47.214,47.222,64.058,57.875,49.986
random_forest_classifier,"n_estimators=60, max_depth=3, criterion=gini",47.523,47.531,61.085,51.338,44.65
random_forest_classifier,"n_estimators=80, max_depth=3, criterion=gini",49.071,49.074,67.581,57.532,50.792
random_forest_classifier,"n_estimators=100, max_depth=3, criterion=gini",47.833,47.84,61.044,64.509,54.772
random_forest_classifier,"n_estimators=20, max_depth=4, criterion=gini",55.573,55.582,66.824,60.033,54.502
random_forest_classifier,"n_estimators=40, max_depth=4, criterion=gini",59.443,59.467,72.729,59.443,55.862
random_forest_classifier,"n_estimators=60, max_depth=4, criterion=gini",60.062,60.078,71.238,64.883,59.918
random_forest_classifier,"n_estimators=80, max_depth=4, criterion=gini",61.146,61.158,73.648,61.146,57.962
random_forest_classifier,"n_estimators=100, max_depth=4, criterion=gini",60.526,60.507,73.65,62.862,59.222
random_forest_classifier,"n_estimators=20, max_depth=5, criterion=gini",72.291,72.283,79.3,72.291,70.849
random_forest_classifier,"n_estimators=40, max_depth=5, criterion=gini",73.375,73.349,79.962,73.375,72.089
random_forest_classifier,"n_estimators=60, max_depth=5, criterion=gini",74.768,74.752,81.978,74.768,73.695
random_forest_classifier,"n_estimators=80, max_depth=5, criterion=gini",75.387,75.376,81.919,75.387,74.151
random_forest_classifier,"n_estimators=100, max_depth=5, criterion=gini",75.851,75.845,82.317,75.851,74.511
random_forest_classifier,"n_estimators=20, max_depth=6, criterion=gini",81.734,81.723,86.026,81.734,81.187
random_forest_classifier,"n_estimators=40, max_depth=6, criterion=gini",84.056,84.051,87.409,84.056,83.653
random_forest_classifier,"n_estimators=60, max_depth=6, criterion=gini",84.675,84.669,88.174,84.675,84.116
random_forest_classifier,"n_estimators=80, max_depth=6, criterion=gini",86.842,86.829,89.24,86.842,86.628
random_forest_classifier,"n_estimators=100, max_depth=6, criterion=gini",86.378,86.366,88.789,86.378,86.079
random_forest_classifier,"n_estimators=20, max_depth=7, criterion=gini",89.474,89.466,90.671,89.474,89.382
random_forest_classifier,"n_estimators=40, max_depth=7, criterion=gini",93.653,93.646,94.312,93.653,93.559
random_forest_classifier,"n_estimators=60, max_depth=7, criterion=gini",93.344,93.351,94.124,93.344,93.256
random_forest_classifier,"n_estimators=80, max_depth=7, criterion=gini",95.201,95.209,95.695,95.201,95.122
random_forest_classifier,"n_estimators=100, max_depth=7, criterion=gini",94.272,94.283,94.859,94.272,94.268
random_forest_classifier,"n_estimators=20, max_depth=2, criterion=entropy",32.043,32.059,45.303,57.66,43.467
random_forest_classifier,"n_estimators=40, max_depth=2, criterion=entropy",33.591,33.561,54.449,50.348,40.593
random_forest_classifier,"n_estimators=60, max_depth=2, criterion=entropy",33.901,33.904,53.877,48.132,39.108
random_forest_classifier,"n_estimators=80, max_depth=2, criterion=entropy",31.269,31.28,50.23,52.742,39.045
random_forest_classifier,"n_estimators=100, max_depth=2, criterion=entropy",29.721,29.717,39.153,44.548,33.815
random_forest_classifier,"n_estimators=20, max_depth=3, criterion=entropy",40.712,40.754,53.693,55.021,44.959
random_forest_classifier,"n_estimators=40, max_depth=3, criterion=entropy",43.344,43.371,56.724,50.909,42.996
random_forest_classifier,"n_estimators=60, max_depth=3, criterion=entropy",46.285,46.31,62.027,56.844,48.737
random_forest_classifier,"n_estimators=80, max_depth=3, criterion=entropy",47.678,47.685,63.118,55.898,49.57
random_forest_classifier,"n_estimators=100, max_depth=3, criterion=entropy",46.44,46.457,64.594,54.545,46.921
random_forest_classifier,"n_estimators=20, max_depth=4, criterion=entropy",55.728,55.737,69.313,62.718,58.452
random_forest_classifier,"n_estimators=40, max_depth=4, criterion=entropy",58.05,58.038,72.937,62.709,58.807
random_forest_classifier,"n_estimators=60, max_depth=4, criterion=entropy",62.229,62.245,74.459,62.229,59.337
random_forest_classifier,"n_estimators=80, max_depth=4, criterion=entropy",60.681,60.695,72.63,63.023,59.94
random_forest_classifier,"n_estimators=100, max_depth=4, criterion=entropy",62.384,62.379,74.679,62.384,59.204
random_forest_classifier,"n_estimators=20, max_depth=5, criterion=entropy",68.731,68.706,78.303,68.731,66.642
random_forest_classifier,"n_estimators=40, max_depth=5, criterion=entropy",73.529,73.531,79.789,73.529,71.801
random_forest_classifier,"n_estimators=60, max_depth=5, criterion=entropy",72.291,72.296,79.48,72.291,70.881
random_forest_classifier,"n_estimators=80, max_depth=5, criterion=entropy",74.613,74.618,81.091,74.613,73.057
random_forest_classifier,"n_estimators=100, max_depth=5, criterion=entropy",74.923,74.919,82.322,74.923,74.074
