model_names,parameters,accuracy_score,balanced_accuracy_score,precision_score,recall_score,f1_score
gaussian_naive_bayes,None=None,59.443,59.434,68.397,59.443,59.81
support_vector_classifier,kernel=linear,86.842,86.822,87.97,86.842,86.913
support_vector_classifier,kernel=poly,100.0,100.0,100.0,100.0,100.0
support_vector_classifier,kernel=rbf,100.0,100.0,100.0,100.0,100.0
decision_tree_classifier,"splitter=best, max_depth=2, criterion=gini",11.3,11.265,14.057,76.042,20.507
decision_tree_classifier,"splitter=random, max_depth=2, criterion=gini",11.146,11.111,12.803,75.0,20.797
decision_tree_classifier,"splitter=best, max_depth=3, criterion=gini",16.873,16.821,29.901,64.881,30.361
decision_tree_classifier,"splitter=random, max_depth=3, criterion=gini",15.944,15.895,17.709,61.31,26.265
decision_tree_classifier,"splitter=best, max_depth=4, criterion=gini",24.458,24.416,40.813,47.164,32.839
decision_tree_classifier,"splitter=random, max_depth=4, criterion=gini",25.077,25.114,33.204,48.358,33.998
decision_tree_classifier,"splitter=best, max_depth=5, criterion=gini",32.817,32.79,40.071,44.351,37.268
decision_tree_classifier,"splitter=random, max_depth=5, criterion=gini",30.96,30.972,42.771,43.956,36.089
decision_tree_classifier,"splitter=best, max_depth=6, criterion=gini",44.582,44.565,58.6,46.302,43.473
decision_tree_classifier,"splitter=random, max_depth=6, criterion=gini",42.415,42.485,53.744,44.051,42.267
decision_tree_classifier,"splitter=best, max_depth=7, criterion=gini",58.359,58.36,64.764,58.359,57.858
decision_tree_classifier,"splitter=random, max_depth=7, criterion=gini",51.548,51.557,60.202,53.537,51.503
decision_tree_classifier,"splitter=best, max_depth=2, criterion=entropy",10.991,10.957,13.142,73.958,20.777
decision_tree_classifier,"splitter=random, max_depth=2, criterion=entropy",10.836,10.802,11.593,72.917,19.707
decision_tree_classifier,"splitter=best, max_depth=3, criterion=entropy",16.718,16.667,24.881,56.25,26.264
decision_tree_classifier,"splitter=random, max_depth=3, criterion=entropy",18.266,18.297,23.748,61.78,31.645
decision_tree_classifier,"splitter=best, max_depth=4, criterion=entropy",23.529,23.457,32.623,52.778,33.75
decision_tree_classifier,"splitter=random, max_depth=4, criterion=entropy",22.91,22.86,26.486,41.226,27.665
decision_tree_classifier,"splitter=best, max_depth=5, criterion=entropy",33.437,33.4,45.905,43.028,37.077
decision_tree_classifier,"splitter=random, max_depth=5, criterion=entropy",33.901,33.897,42.224,45.816,38.784
decision_tree_classifier,"splitter=best, max_depth=6, criterion=entropy",48.607,48.544,54.005,48.607,46.428
decision_tree_classifier,"splitter=random, max_depth=6, criterion=entropy",42.879,42.834,45.558,50.364,44.49
decision_tree_classifier,"splitter=best, max_depth=7, criterion=entropy",57.276,57.267,65.381,57.276,57.289
decision_tree_classifier,"splitter=random, max_depth=7, criterion=entropy",45.975,45.974,53.732,47.749,45.192
random_forest_classifier,"n_estimators=20, max_depth=2, criterion=gini",29.257,29.281,37.698,49.347,34.195
random_forest_classifier,"n_estimators=40, max_depth=2, criterion=gini",31.269,31.294,43.33,49.631,35.969
random_forest_classifier,"n_estimators=60, max_depth=2, criterion=gini",35.604,35.601,48.609,56.511,43.802
random_forest_classifier,"n_estimators=80, max_depth=2, criterion=gini",31.424,31.414,44.416,47.1,34.317
random_forest_classifier,"n_estimators=100, max_depth=2, criterion=gini",32.508,32.475,44.481,51.597,38.571
random_forest_classifier,"n_estimators=20, max_depth=3, criterion=gini",40.557,40.533,54.093,52.087,43.731
random_forest_classifier,"n_estimators=40, max_depth=3, criterion=gini",43.034,43.002,62.582,52.751,44.763
random_forest_classifier,"n_estimators=60, max_depth=3, criterion=gini",47.833,47.813,65.594,56.08,50.135
random_forest_classifier,"n_estimators=80, max_depth=3, criterion=gini",46.13,46.108,59.824,56.546,49.703
random_forest_classifier,"n_estimators=100, max_depth=3, criterion=gini",45.046,45.042,62.827,52.909,46.633
random_forest_classifier,"n_estimators=20, max_depth=4, criterion=gini",54.334,54.294,70.332,56.431,52.962
random_forest_classifier,"n_estimators=40, max_depth=4, criterion=gini",54.799,54.771,69.773,61.672,57.383
random_forest_classifier,"n_estimators=60, max_depth=4, criterion=gini",56.966,56.931,71.524,66.909,61.642
random_forest_classifier,"n_estimators=80, max_depth=4, criterion=gini",55.728,55.696,69.357,65.455,60.419
random_forest_classifier,"n_estimators=100, max_depth=4, criterion=gini",57.276,57.24,73.558,61.873,58.233
random_forest_classifier,"n_estimators=20, max_depth=5, criterion=gini",70.743,70.713,81.351,70.743,69.454
random_forest_classifier,"n_estimators=40, max_depth=5, criterion=gini",65.635,65.607,79.322,65.635,63.677
random_forest_classifier,"n_estimators=60, max_depth=5, criterion=gini",70.743,70.713,82.899,70.743,70.499
random_forest_classifier,"n_estimators=80, max_depth=5, criterion=gini",69.505,69.471,80.382,69.505,67.9
random_forest_classifier,"n_estimators=100, max_depth=5, criterion=gini",69.659,69.639,81.099,69.659,68.62
random_forest_classifier,"n_estimators=20, max_depth=6, criterion=gini",78.019,77.979,85.149,78.019,77.943
random_forest_classifier,"n_estimators=40, max_depth=6, criterion=gini",77.09,77.06,85.04,77.09,76.577
random_forest_classifier,"n_estimators=60, max_depth=6, criterion=gini",79.876,79.851,86.595,79.876,79.697
random_forest_classifier,"n_estimators=80, max_depth=6, criterion=gini",78.173,78.154,85.615,78.173,77.558
random_forest_classifier,"n_estimators=100, max_depth=6, criterion=gini",78.947,78.918,85.588,78.947,78.634
